sampYear,sampMonth,sampDay,treatment,rep,depthTop,depthBottom,plot,suffix,study,concNO3,concNO3rr,concNH4,concNH4rr
2014,6,2,4,2,0,3,33,W,Rotation 2,61.041,,13.501,
2014,6,2,4,2,3,6,33,W,Rotation 2,28.746,,16.859,
2014,6,2,4,2,6,12,33,W,Rotation 2,23.779,,33.084,
2014,6,2,5,3,0,3,34,W,Rotation 2,49.35,,20.382,
2014,6,2,5,3,3,6,34,W,Rotation 2,18.968,,7.405,
2014,6,2,5,3,6,12,34,W,Rotation 2,31.485,,27.936,
2014,6,2,3,3,0,3,35,W,Rotation 2,18.674,,17.743,
2014,6,2,3,3,3,6,35,W,Rotation 2,8.246,,6.653,
2014,6,2,3,3,6,12,35,W,Rotation 2,19.725,,22.822,
2014,6,2,2,3,0,3,36,W,Rotation 2,7.501,,13.553,
2014,6,2,2,3,3,6,36,W,Rotation 2,7.645,,13.465,
2014,6,2,2,3,6,12,36,W,Rotation 2,21.868,,21.639,
2014,6,18,1,1,0,3,1,E,Rotation 1,2.525,,7.273,
2014,6,18,1,1,3,6,1,E,Rotation 1,1.841,,5.315,
2014,6,18,1,1,6,12,1,E,Rotation 1,4.309,,8.409,
2014,6,18,6,1,0,3,2,E,Rotation 1,12.972,,6.131,
2014,6,18,6,1,3,6,2,E,Rotation 1,5.131,,4.017,
2014,6,18,6,1,6,12,2,E,Rotation 1,20.664,,6.615,
2014,6,18,3,1,0,3,3,E,Rotation 1,14.114,,6.678,
2014,6,18,3,1,3,6,3,E,Rotation 1,2.856,,6.677,
2014,6,18,3,1,6,12,3,E,Rotation 1,9.948,,11.005,
2014,6,18,5,2,0,3,4,E,Rotation 1,206.624,,18.954,
2014,6,18,5,2,3,6,4,E,Rotation 1,81.607,,7.367,
2014,6,18,5,2,6,12,4,E,Rotation 1,80.034,,14.362,
2014,6,18,2,2,0,3,5,E,Rotation 1,3.882,,5.395,
2014,6,18,2,2,3,6,5,E,Rotation 1,1.511,,5.363,
2014,6,18,2,2,6,12,5,E,Rotation 1,7.519,,9.367,
2014,6,18,4,2,0,3,6,E,Rotation 1,34.878,,6.254,
2014,6,18,4,2,3,6,6,E,Rotation 1,8.486,,4.805,
2014,6,18,4,2,6,12,6,E,Rotation 1,14.941,,6.579,
2014,6,18,2,3,0,3,7,E,Rotation 1,6.468,,4.095,
2014,6,18,2,3,3,6,7,E,Rotation 1,3.344,,7.037,
2014,6,18,2,3,6,12,7,E,Rotation 1,7.908,,6.938,
2014,6,18,3,3,0,3,8,E,Rotation 1,9.527,,5.219,
2014,6,18,3,3,3,6,8,E,Rotation 1,2.456,,4.091,
2014,6,18,3,3,6,12,8,E,Rotation 1,8.58,,6.926,
2014,6,18,6,3,0,3,9,E,Rotation 1,13.131,,5.151,
2014,6,18,6,3,3,6,9,E,Rotation 1,6.407,,3.968,
2014,6,18,6,3,6,12,9,E,Rotation 1,15.7,,6.107,
2014,6,18,2,1,0,3,10,E,Rotation 1,7.804,,7.246,
2014,6,18,2,1,3,6,10,E,Rotation 1,3.738,,4.605,
2014,6,18,2,1,6,12,10,E,Rotation 1,19.657,,7.319,
2014,6,18,5,1,0,3,11,E,Rotation 1,15.63,,9.227,
2014,6,18,5,1,3,6,11,E,Rotation 1,4.834,,4.539,
2014,6,18,5,1,6,12,11,E,Rotation 1,21.356,,8.196,
2014,6,18,4,1,0,3,12,E,Rotation 1,18.737,,7.273,
2014,6,18,4,1,3,6,12,E,Rotation 1,7.027,,5.48,
2014,6,18,4,1,6,12,12,E,Rotation 1,18.67,,9.22,
2014,6,18,6,2,0,3,13,E,Rotation 1,77.272,,6.97,
2014,6,18,6,2,3,6,13,E,Rotation 1,18.614,,6.789,
2014,6,18,6,2,6,12,13,E,Rotation 1,31.609,,13.481,
2014,6,18,1,2,0,3,14,E,Rotation 1,2.377,,4.748,
2014,6,18,1,2,3,6,14,E,Rotation 1,1.401,,4.914,
2014,6,18,1,2,6,12,14,E,Rotation 1,6.558,,8.621,
2014,6,18,3,2,0,3,15,E,Rotation 1,13.001,,6.779,
2014,6,18,3,2,3,6,15,E,Rotation 1,5.454,,4.982,
2014,6,18,3,2,6,12,15,E,Rotation 1,19.31,,6.498,
2014,6,18,1,3,0,3,16,E,Rotation 1,5.16,,4.163,
2014,6,18,1,3,3,6,16,E,Rotation 1,2.44,,3.626,
2014,6,18,1,3,6,12,16,E,Rotation 1,12.141,,6.313,
2014,6,18,4,3,0,3,17,E,Rotation 1,24.008,,4.137,
2014,6,18,4,3,3,6,17,E,Rotation 1,12.164,,3.18,
2014,6,18,4,3,6,12,17,E,Rotation 1,47.597,,5.935,
2014,6,18,5,3,0,3,18,E,Rotation 1,95.772,,16.773,
2014,6,18,5,3,3,6,18,E,Rotation 1,8.05,,3.327,
2014,6,18,5,3,6,12,18,E,Rotation 1,20.732,,7.007,
2014,6,18,1,1,0,3,1,W,Rotation 1,2.813,,5.303,
2014,6,18,1,1,3,6,1,W,Rotation 1,2.166,,4.298,
2014,6,18,1,1,6,12,1,W,Rotation 1,8.202,,7.309,
2014,6,18,6,1,0,3,2,W,Rotation 1,222.556,,4.251,
2014,6,18,6,1,3,6,2,W,Rotation 1,158.447,,3.243,
2014,6,18,6,1,6,12,2,W,Rotation 1,156.362,,8.722,
2014,6,18,3,1,0,3,3,W,Rotation 1,5.717,,4.477,
2014,6,18,3,1,3,6,3,W,Rotation 1,3.812,,4.455,
2014,6,18,3,1,6,12,3,W,Rotation 1,13.551,,14.131,
2014,6,18,5,2,0,3,4,W,Rotation 1,5.898,,6.915,
2014,6,18,5,2,3,6,4,W,Rotation 1,3.159,,5.487,
2014,6,18,5,2,6,12,4,W,Rotation 1,14.175,,5.958,
2014,6,18,2,2,0,3,5,W,Rotation 1,6.406,,4.586,
2014,6,18,2,2,3,6,5,W,Rotation 1,3.083,,3.485,
2014,6,18,2,2,6,12,5,W,Rotation 1,11.659,,7.861,
2014,6,18,4,2,0,3,6,W,Rotation 1,4.303,,6.768,
2014,6,18,4,2,3,6,6,W,Rotation 1,4.937,,5.061,
2014,6,18,4,2,6,12,6,W,Rotation 1,16.59,,9.073,
2014,6,18,2,3,0,3,7,W,Rotation 1,4.078,,6.355,
2014,6,18,2,3,3,6,7,W,Rotation 1,2.447,,4.545,
2014,6,18,2,3,6,12,7,W,Rotation 1,19.016,,10.176,
2014,6,18,3,3,0,3,8,W,Rotation 1,5.989,,5.583,
2014,6,18,3,3,3,6,8,W,Rotation 1,2.892,,6.495,
2014,6,18,3,3,6,12,8,W,Rotation 1,9.605,,6.338,
2014,6,18,6,3,0,3,9,W,Rotation 1,11.959,,5.169,
2014,6,18,6,3,3,6,9,W,Rotation 1,6.223,,3.842,
2014,6,18,6,3,6,12,9,W,Rotation 1,18.038,,7.054,
2014,6,18,2,1,0,3,10,W,Rotation 1,4.716,,4.247,
2014,6,18,2,1,3,6,10,W,Rotation 1,3.134,,3.072,
2014,6,18,2,1,6,12,10,W,Rotation 1,14.199,,6.349,
2014,6,18,5,1,0,3,11,W,Rotation 1,5.857,,3.911,
2014,6,18,5,1,3,6,11,W,Rotation 1,4.69,,3.655,
2014,6,18,5,1,6,12,11,W,Rotation 1,20.337,,6.833,
2014,6,18,4,1,0,3,12,W,Rotation 1,7.918,,5.533,
2014,6,18,4,1,3,6,12,W,Rotation 1,7.06,,5.236,
2014,6,18,4,1,6,12,12,W,Rotation 1,15.778,,6.694,
2014,6,18,6,2,0,3,13,W,Rotation 1,117.955,,5.237,
2014,6,18,6,2,3,6,13,W,Rotation 1,138.038,,4.838,
2014,6,18,6,2,6,12,13,W,Rotation 1,188.793,,8.559,
2014,6,18,1,2,0,3,14,W,Rotation 1,2.425,,4.006,
2014,6,18,1,2,3,6,14,W,Rotation 1,1.711,,6.003,
2014,6,18,1,2,6,12,14,W,Rotation 1,7.542,,7.345,
2014,6,18,3,2,0,3,15,W,Rotation 1,2.593,,6.864,
2014,6,18,3,2,3,6,15,W,Rotation 1,3.074,,4.96,
2014,6,18,3,2,6,12,15,W,Rotation 1,11.335,,10.221,
2014,6,18,1,3,0,3,16,W,Rotation 1,3.704,,8.868,
2014,6,18,1,3,3,6,16,W,Rotation 1,4.005,,4.79,
2014,6,18,1,3,6,12,16,W,Rotation 1,10.024,,11.312,
2014,6,18,4,3,0,3,17,W,Rotation 1,5.989,,3.858,
2014,6,18,4,3,3,6,17,W,Rotation 1,4.831,,4.225,
2014,6,18,4,3,6,12,17,W,Rotation 1,13.899,,7.436,
2014,6,18,5,3,0,3,18,W,Rotation 1,7.348,,5.118,
2014,6,18,5,3,3,6,18,W,Rotation 1,4.55,,3.905,
2014,6,18,5,3,6,12,18,W,Rotation 1,10.338,,7.641,
2014,6,18,4,1,0,3,19,E,Rotation 2,8.816,,6.651,
2014,6,18,4,1,3,6,19,E,Rotation 2,4.172,,5.544,
2014,6,18,4,1,6,12,19,E,Rotation 2,17.059,,8.999,
2014,6,18,2,1,0,3,20,E,Rotation 2,12.312,,9.104,
2014,6,18,2,1,3,6,20,E,Rotation 2,4.111,,8.132,
2014,6,18,2,1,6,12,20,E,Rotation 2,18.402,,7.258,
2014,6,18,5,1,0,3,21,E,Rotation 2,21.452,,8.446,
2014,6,18,5,1,3,6,21,E,Rotation 2,32,,5.725,
2014,6,18,5,1,6,12,21,E,Rotation 2,85.782,,15.949,
2014,6,18,1,2,0,3,22,E,Rotation 2,9.177,,10.209,
2014,6,18,1,2,3,6,22,E,Rotation 2,3.084,,6.548,
2014,6,18,1,2,6,12,22,E,Rotation 2,6.619,,10.276,
2014,6,18,5,2,0,3,23,E,Rotation 2,73.305,,6.603,
2014,6,18,5,2,3,6,23,E,Rotation 2,40.666,,6.835,
2014,6,18,5,2,6,12,23,E,Rotation 2,50.437,,16.318,
2014,6,18,3,2,0,3,24,E,Rotation 2,69.952,70.988,8.083,8.031
2014,6,18,3,2,3,6,24,E,Rotation 2,62.087,65.260,6.038,6.640
2014,6,18,3,2,6,12,24,E,Rotation 2,65.145,65.271,13.51,14.378
2014,6,18,6,3,0,3,25,E,Rotation 2,187.57,230.922,7.488,7.915
2014,6,18,6,3,3,6,25,E,Rotation 2,160.287,199.547,6.183,6.881
2014,6,18,6,3,6,12,25,E,Rotation 2,101.21,105.946,14.769,13.784
2014,6,18,4,3,0,3,26,E,Rotation 2,128.933,155.189,6.499,6.725
2014,6,18,4,3,3,6,26,E,Rotation 2,112.389,133.970,4.777,5.434
2014,6,18,4,3,6,12,26,E,Rotation 2,138.752,152.907,13.648,15.177
2014,6,18,1,3,0,3,27,E,Rotation 2,6.062,,7.358,
2014,6,18,1,3,3,6,27,E,Rotation 2,1.823,,6.55,
2014,6,18,1,3,6,12,27,E,Rotation 2,8.961,,11.887,
2014,6,18,3,1,0,3,28,E,Rotation 2,8.328,,9.104,
2014,6,18,3,1,3,6,28,E,Rotation 2,2.56,,6.629,
2014,6,18,3,1,6,12,28,E,Rotation 2,14.015,,11.602,
2014,6,18,1,1,0,3,29,E,Rotation 2,6.135,,6.135,
2014,6,18,1,1,3,6,29,E,Rotation 2,4.795,,7.258,
2014,6,18,1,1,6,12,29,E,Rotation 2,9.041,,11.338,
2014,6,18,6,1,0,3,30,E,Rotation 2,226.783,268.167,8.38,8.949
2014,6,18,6,1,3,6,30,E,Rotation 2,58.488,,7.798,
2014,6,18,6,1,6,12,30,E,Rotation 2,39.957,,9.159,
2014,6,18,2,2,0,3,31,E,Rotation 2,4.803,,7.306,
2014,6,18,2,2,3,6,31,E,Rotation 2,3.121,,9.171,
2014,6,18,2,2,6,12,31,E,Rotation 2,11.927,,11.927,
2014,6,18,6,2,0,3,32,E,Rotation 2,9.038,,8.883,
2014,6,18,6,2,3,6,32,E,Rotation 2,4.439,,7.018,
2014,6,18,6,2,6,12,32,E,Rotation 2,13.716,,11.099,
2014,6,18,4,2,0,3,33,E,Rotation 2,24.861,,9.239,
2014,6,18,4,2,3,6,33,E,Rotation 2,5.914,,7.563,
2014,6,18,4,2,6,12,33,E,Rotation 2,23.089,,18.745,
2014,6,18,5,3,0,3,34,E,Rotation 2,42.282,,7.254,
2014,6,18,5,3,3,6,34,E,Rotation 2,32.57,,3.939,
2014,6,18,5,3,6,12,34,E,Rotation 2,39.71,,7.657,
2014,6,18,3,3,0,3,35,E,Rotation 2,8.72,,6.124,
